epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
46,2209.959032389323,2209.959032389323,3646.208875656128,3646.208875656128
47,2372.2575911458334,2372.2575911458334,3829.9583934437146,3829.9583934437146
48,2316.144637451172,2316.144637451172,3806.1549009843307,3806.1549009843307
49,2328.058850911458,2328.058850911458,3712.1290756572375,3712.1290756572375
50,2129.228133138021,2129.228133138021,3775.7236546603117,3775.7236546603117
51,2346.3631640625,2346.3631640625,3685.9673709869385,3685.9673709869385
52,2310.6356070963543,2310.6356070963543,3763.638823595914,3763.638823595914
53,2284.7064217122397,2284.7064217122397,3934.116756092418,3934.116756092418
54,2237.260279947917,2237.260279947917,3905.33410505815,3905.33410505815
55,2166.5536279296875,2166.5536279296875,3932.3990809700704,3932.3990809700704
56,2293.1821736653646,2293.1821736653646,4164.788223743439,4164.788223743439
57,2242.599678548177,2242.599678548177,4144.475560144944,4144.475560144944
58,2284.1268375651043,2284.1268375651043,3990.0961508317428,3990.0961508317428
59,2265.1273860677084,2265.1273860677084,3794.9178158153186,3794.9178158153186
60,2129.644753417969,2129.644753417969,4046.323073733937,4046.323073733937
61,2187.5934741210935,2187.5934741210935,3950.142001065341,3950.142001065341
62,2217.8456022135415,2217.8456022135415,3993.670960296284,3993.670960296284
63,2185.4371508789063,2185.4371508789063,4061.00016004389,4061.00016004389
64,2176.183545735677,2176.183545735677,4199.912221404639,4199.912221404639
65,2042.1850708007812,2042.1850708007812,4268.377654139291,4268.377654139291
66,2203.196687011719,2203.196687011719,4276.9197351648045,4276.9197351648045
67,2044.9770548502604,2044.9770548502604,4290.932151881131,4290.932151881131
68,2348.951075032552,2348.951075032552,4492.85525005514,4492.85525005514
69,2088.642751464844,2088.642751464844,4252.730148694732,4252.730148694732
70,2070.385887044271,2070.385887044271,4229.370647473769,4229.370647473769
71,2086.2340909830727,2086.2340909830727,4147.716764710166,4147.716764710166
72,2008.5873942057292,2008.5873942057292,4246.419038490815,4246.419038490815
73,2078.6462736002604,2078.6462736002604,4361.167803710157,4361.167803710157
74,2172.9179182942707,2172.9179182942707,4349.561189931224,4349.561189931224
75,2035.0739819335938,2035.0739819335938,4496.379744218154,4496.379744218154
76,2135.7454524739583,2135.7454524739583,4365.46369177103,4365.46369177103
77,2066.0422159830728,2066.0422159830728,4461.997931955891,4461.997931955891
78,2180.807643229167,2180.807643229167,4746.459239266135,4746.459239266135
79,2176.0971215820314,2176.0971215820314,4691.950035442005,4691.950035442005
80,2114.261787516276,2114.261787516276,4714.684565197338,4714.684565197338
81,2069.842217610677,2069.842217610677,4641.262536417355,4641.262536417355
82,2034.8009334309895,2034.8009334309895,4698.943997903304,4698.943997903304
83,1980.2622493489582,1980.2622493489582,4577.353569204157,4577.353569204157
84,2194.485662434896,2194.485662434896,4491.766457839446,4491.766457839446
85,2211.2412548828124,2211.2412548828124,4553.240285700018,4553.240285700018
86,2070.117548014323,2070.117548014323,4709.188851876693,4709.188851876693
87,2112.6458658854167,2112.6458658854167,4566.450879118659,4566.450879118659
88,2008.1060115559897,2008.1060115559897,4958.7218636599455,4958.7218636599455
89,2198.0515258789064,2198.0515258789064,5116.4082048589535,5116.4082048589535
90,2169.1263346354167,2169.1263346354167,5028.3517686670475,5028.3517686670475
91,2027.9515388997395,2027.9515388997395,4962.058103214611,4962.058103214611
92,2127.2471858723957,2127.2471858723957,4967.718444997614,4967.718444997614
93,2046.2922192382812,2046.2922192382812,4970.572913083163,4970.572913083163
94,2091.38986328125,2091.38986328125,5116.052599820224,5116.052599820224
95,2146.9505224609375,2146.9505224609375,4982.071234616366,4982.071234616366
96,2149.9907731119793,2149.9907731119793,4861.9743191112175,4861.9743191112175
97,2103.2860978190106,2103.2860978190106,5202.019051638516,5202.019051638516
98,2053.7276407877603,2053.7276407877603,4971.985744823109,4971.985744823109
99,2173.7818212890625,2173.7818212890625,5006.727922092785,5006.727922092785
100,1998.8429630533853,1998.8429630533853,5154.848415894942,5154.848415894942
101,2031.204590657552,2031.204590657552,4859.08049661463,4859.08049661463
